LOCATION_ID,WAREHOUSE_ID,WAREHOUSE_NAME
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
5,1,"Southlake, Texas"
6,2,San Francisco
7,3,New Jersey
8,4,"Seattle, Washington"
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
5,1,"Southlake, Texas"
6,2,San Francisco
7,3,New Jersey
8,4,"Seattle, Washington"
9,5,Toronto
13,6,Sydney
23,7,Mexico City
6,2,San Francisco
13,6,Sydney
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
7,3,New Jersey
9,5,Toronto
13,6,Sydney
23,7,Mexico City
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
11,8,Beijing
12,9,Bombay
6,2,San Francisco
8,4,"Seattle, Washington"
13,6,Sydney
